Code,Title,Description,Extension
preProcurement,Pre-procurement milestones,"For events during the planning or pre-procurement phase of a process, such as the preparation of key studies.",OCDS Core
approval,Approval,For events such as the sign-off of a contract or project.,OCDS Core
engagement,Engagement milestones,"For engagement milestones, such as a public hearing.",OCDS Core
assessment,Assessment milestones,"For assessment and adjudication milestones, such as the meeting date of a committee.",OCDS Core
delivery,Delivery milestones,"For delivery milestones, such as the date when a good or service should be provided.",OCDS Core
reporting,Reporting milestones,"For reporting milestones, such as when key reports should be provided.",OCDS Core
financing,Financing milestones,"For events such as planned payments, or equity transfers in public private partnership projects.",OCDS Core
procurement,Procurement,"Events taking place during the procurement which are not captured by fields in core OCDS, such as additional enquiry periods or draft tender submissions in a competitive dialogue process",Public Private Partnership
contractClose,Contract close,Events such as commercial and financial close,Public Private Partnership
