Code,Title,Description,Extension
electronicSubmission,Electronic Submission,Bids will be recieved through an electronic procurement platform.,OCDS Core
electronicAuction,Electronic Auction,Bids will be recieved through an electronic auction platform.,OCDS Core
written,Written,"Bids will be recieved via written documents, delivered as hard copies, via generic e-mail systems, or some similar mechanism.",OCDS Core
inPerson,In Person,Bids will only be recieved if they are hand delivered at the time and place specified in submissionMethodDetails or attached documentation.,OCDS Core
