Code,Title,Description,Source
low,Low,The impact of the risk occuring is low,http://pubdocs.worldbank.org/en/422531461874706371/PFRAM20160401-Guidance-Note-for-PFRAM-March-28-2016.pdf
medium,Medium,The impact of the risk occuring is medium,http://pubdocs.worldbank.org/en/422531461874706371/PFRAM20160401-Guidance-Note-for-PFRAM-March-28-2016.pdf
high,High,The impact of the risk occuring is high,http://pubdocs.worldbank.org/en/422531461874706371/PFRAM20160401-Guidance-Note-for-PFRAM-March-28-2016.pdf
