Code,Title,Description,Source
publicAuthority,Public authority,The risk is retained wholly or mostly by government,http://pubdocs.worldbank.org/en/422531461874706371/PFRAM20160401-Guidance-Note-for-PFRAM-March-28-2016.pdf
privateParty,Private party,The risk is retained wholly or mostly by the private party,http://pubdocs.worldbank.org/en/422531461874706371/PFRAM20160401-Guidance-Note-for-PFRAM-March-28-2016.pdf
undefined,Undefined,The risk is not clearly assigned to a specific party. Details can be provided in the relevant notes field.,
