Category,Code,Title_en,Description_en,Source
Agribusiness,agribusiness,Agribusiness,,
Education,education,Education,,
Health,health,Health,,
ICT,ict,ICT,,
Municipal,municipal,Municipal,,
Power,power,Power,,
Tourism,tourism,Tourism,,
Transport,transport,Transport,,
Water & Sanitation,wash,Water & Sanitation,,
