Code,Title,Description,Extension
tenderer,Tenderer,The response is provided by the tenderer.,Requirements
buyer,Buyer,The response is provided by the buyer.,Requirements
procuringEntity,Procuring entity,The response is provided by the procuring entity.,Requirements
