Code,Title,Description
enquirer,Enquirer,A party who has made an enquiry during the enquiry phase of a contracting process.
payer,Payer,A party making a payment from a transaction
payee,Payee,A party in receipt of a payment from a transaction
reviewBody,Review Body,A party responsible for the review of this procurement process. This party often has a role in any challenges made to the contract award. 
