Code,Title,Description,Source
procurement,Procurement,"Events taking place during the procurement which are not captured by fields in core OCDS, such as additional enquiry periods or draft bid submissions in a competitive dialogue process",
contractClose,Contract close,Events such as commercial and financial close,https://github.com/open-contracting-extensions/public-private-partnerships/issues/25
